Year,Month,Day,Interval,wind_apb1,wind_apb2,wind_apb3,wind_apb4,wind_apb5
2025,8,10,14,0,0,0.615248304,0.555504029,0.316759506
2025,8,10,15,0,0,0.552161212,0.623816714,0.360968488
2025,8,10,16,0,0,0.498195572,0.679530058,0.377400957
2025,8,10,17,0,0,0.441139479,0.72935316,0.396411484
2025,8,10,18,0,0,0.404456814,0.723637434,0.40925141
2025,8,10,19,0,0,0.39180322,0.728153601,0.4328211
2025,8,10,20,0,0,0.362450738,0.69375188,0.440274147
2025,8,10,21,0,0,0.366878269,0.713539392,0.432251164
2025,8,10,22,0,0,0.365469706,0.713211577,0.424041323
2025,8,10,23,0,0,0.337451349,0.67502056,0.396905754
2025,8,10,24,0,0,0.327219827,0.639227234,0.388602514
2025,8,11,1,0,0,0.216422245,0.365640216,0.212674419
2025,8,11,2,0,0,0.229083303,0.272313845,0.167378188
2025,8,11,3,0,0,0.250230762,0.206101752,0.14392325
2025,8,11,4,0,0,0.307047775,0.175202708,0.141052036
2025,8,11,5,0,0,0.39708551,0.161684067,0.138915475
2025,8,11,6,0,0,0.506774794,0.170006154,0.122516901
2025,8,11,7,0,0,0.583065568,0.193679918,0.093908223
2025,8,11,8,0,0,0.626047072,0.192167676,0.061417696
2025,8,11,9,0,0,0.639104024,0.178965486,0.052977906
2025,8,11,10,0,0,0.653391948,0.191655703,0.068836292
2025,8,11,11,0,0,0.649245202,0.264254896,0.123669676
2025,8,11,12,0,0,0.690788863,0.392695376,0.20577502
2025,8,11,13,0,0,0.698470954,0.491926183,0.277795242
2025,8,11,14,0,0,0.615248304,0.555504029,0.316759506
2025,8,11,15,0,0,0.552161212,0.623816714,0.360968488
2025,8,11,16,0,0,0.498195572,0.679530058,0.377400957
2025,8,11,17,0,0,0.441139479,0.72935316,0.396411484
2025,8,11,18,0,0,0.404456814,0.723637434,0.40925141
2025,8,11,19,0,0,0.39180322,0.728153601,0.4328211
2025,8,11,20,0,0,0.362450738,0.69375188,0.440274147
2025,8,11,21,0,0,0.366878269,0.713539392,0.432251164
2025,8,11,22,0,0,0.365469706,0.713211577,0.424041323
